Freq [GHz],d [mm],"mag(S(FloquetPort1:1,FloquetPort1:1)) []","ang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg]"
5.8,10,0.997043952,-130.7985314
5.8,10.1,0.996825981,-131.1390681
5.8,10.2,0.996503438,-131.7249474
5.8,10.3,0.996614124,-131.5046677
5.8,10.4,0.996329245,-131.9811844
5.8,10.5,0.996109879,-132.3368881
5.8,10.6,0.995736217,-132.8998667
5.8,10.7,0.995222638,-133.6909054
5.8,10.8,0.995153632,-133.7426557
5.8,10.9,0.994898401,-134.1399801
5.8,11,0.9946549,-134.5050982
5.8,11.1,0.994196497,-135.1294195
5.8,11.2,0.993417137,-136.1064554
5.8,11.3,0.993035391,-136.6395669
5.8,11.4,0.992529503,-137.2478347
5.8,11.5,0.991232537,-138.7299234
5.8,11.6,0.991503548,-138.4619525
5.8,11.7,0.990909305,-139.2085494
5.8,11.8,0.989662832,-140.5116815
5.8,11.9,0.989087682,-141.1115046
5.8,12,0.988670818,-141.550188
5.8,12.1,0.986133371,-144.0308336
5.8,12.2,0.985730472,-144.3975349
5.8,12.3,0.984786095,-145.2725058
5.8,12.4,0.983395888,-146.5127838
5.8,12.5,0.979436586,-149.8395825
5.8,12.6,0.979663441,-149.7093505
5.8,12.7,0.976962587,-151.8325422
5.8,12.8,0.973497476,-154.3455155
5.8,12.9,0.971547926,-155.7712801
5.8,13,0.967937202,-158.300815
5.8,13.1,0.963091286,-161.4463777
5.8,13.2,0.957332655,-165.0347899
5.8,13.3,0.951014062,-168.8167526
5.8,13.4,0.942249077,-173.8633041
5.8,13.5,0.936716891,-176.8126869
5.8,13.6,0.917237808,172.9881021
5.8,13.7,0.91457466,171.618452
5.8,13.8,0.853575306,141.1583856
5.8,13.9,0.877336782,152.828391
5.8,14,0.854231268,140.7311015
5.8,14.1,0.83765375,131.6386202
5.8,14.2,0.816495268,118.2105303
5.8,14.3,0.794102592,100.5783373
5.8,14.4,0.787586082,93.10845966
5.8,14.5,0.776238819,65.53885562
5.8,14.6,0.77732339,54.36425419
5.8,14.7,0.790074589,33.69592599
5.8,14.8,0.801668784,23.59581659
5.8,14.9,0.819302037,10.11343444
5.8,15,0.841660257,-3.402237625
5.8,15.1,0.86017012,-13.61229749
5.8,15.2,0.877017519,-22.2868551
5.8,15.3,0.891651883,-29.53093055
5.8,15.4,0.90467525,-36.139407
5.8,15.5,0.915027124,-41.2256374
5.8,15.6,0.925862538,-46.84637125
5.8,15.7,0.932352974,-50.2561415
5.8,15.8,0.936596451,-52.43684418
5.8,15.9,0.944207663,-56.55925121
5.8,16,0.949990176,-59.78248417
5.8,16.1,0.953834643,-61.9806075
5.8,16.2,0.958189528,-64.56524779
5.8,16.3,0.96143708,-66.55526694
5.8,16.4,0.966040347,-69.44454298
5.8,16.5,0.969993557,-72.12249484
5.8,16.6,0.972083376,-73.48670487
5.8,16.7,0.972835062,-74.02798913
5.8,16.8,0.975904192,-76.25942442
5.8,16.9,0.976994299,-77.01879595
5.8,17,0.980109001,-79.32862222
5.8,17.1,0.979119542,-78.56307672
5.8,17.2,0.981258789,-80.18540562
5.8,17.3,0.982699169,-81.35485627
5.8,17.4,0.983158323,-81.69164502
5.8,17.5,0.984330492,-82.72148932
5.8,17.6,0.985251743,-83.52300348
5.8,17.7,0.985597288,-83.79008081
5.8,17.8,0.987253551,-85.23065191
5.8,17.9,0.987086587,-85.06410967
5.8,18,0.987924581,-85.80797952
5.8,18.1,0.988302278,-86.14829583
5.8,18.2,0.988855184,-86.60405921
5.8,18.3,0.989212339,-86.95450728
5.8,18.4,0.990090036,-87.79773501
5.8,18.5,0.990347714,-88.0113024
5.8,18.6,0.990605835,-88.26766996
5.8,18.7,0.991082292,-88.70359568
5.8,18.8,0.991421596,-89.0335813
5.8,18.9,0.991685731,-89.31562555
5.8,19,0.991825582,-89.40507014
5.8,19.1,0.992357647,-89.94926451
5.8,19.2,0.992611691,-90.18694474
5.8,19.3,0.993067689,-90.72063508
5.8,19.4,0.993164279,-90.82064136
5.8,19.5,0.993712259,-91.42527929
5.8,19.6,0.993933365,-91.67864623
5.8,19.7,0.994250586,-92.05530521
5.8,19.8,0.994588425,-92.42001895
5.8,19.9,0.99495787,-92.92918502
5.8,20,0.995123679,-93.14662878
